YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2019,1-Jan,0,0,0.286573,36.887947,Stigmochelys pardalis,4170,Io
2019,1-Jan,4,0,0.286611,36.887935,Stigmochelys pardalis,4170,Io
2019,1-Jan,8,0,0.286571,36.887928,Stigmochelys pardalis,4170,Io
2019,1-Jan,12,0,0.286605,36.887954,Stigmochelys pardalis,4170,Io
2019,1-Jan,16,0,0.286541,36.887996,Stigmochelys pardalis,4170,Io
2019,1-Jan,20,0,0.286556,36.887901,Stigmochelys pardalis,4170,Io
2019,1-Jan,23,0,0.286611,36.887947,Stigmochelys pardalis,4170,Io
2019,2-Jan,0,0,0.286575,36.887966,Stigmochelys pardalis,4170,Io
2019,2-Jan,4,0,0.286611,36.887966,Stigmochelys pardalis,4170,Io
2019,2-Jan,8,0,0.286623,36.887996,Stigmochelys pardalis,4170,Io
2019,2-Jan,12,0,0.286581,36.887935,Stigmochelys pardalis,4170,Io
2019,2-Jan,16,0,0.286561,36.887939,Stigmochelys pardalis,4170,Io
2019,2-Jan,20,0,0.28655,36.887928,Stigmochelys pardalis,4170,Io
2019,2-Jan,23,0,0.286618,36.887928,Stigmochelys pardalis,4170,Io
2019,3-Jan,0,0,0.286581,36.887928,Stigmochelys pardalis,4170,Io
2019,3-Jan,4,0,0.286603,36.887954,Stigmochelys pardalis,4170,Io
2019,3-Jan,8,0,0.286591,36.887958,Stigmochelys pardalis,4170,Io
2019,3-Jan,12,0,0.286633,36.887882,Stigmochelys pardalis,4170,Io
2019,3-Jan,16,0,0.286564,36.887939,Stigmochelys pardalis,4170,Io
2019,3-Jan,20,0,0.28655,36.887958,Stigmochelys pardalis,4170,Io
2019,3-Jan,23,0,0.286576,36.888011,Stigmochelys pardalis,4170,Io
2019,4-Jan,0,0,0.286595,36.887935,Stigmochelys pardalis,4170,Io
2019,4-Jan,4,0,0.286605,36.887996,Stigmochelys pardalis,4170,Io
2019,4-Jan,8,0,0.28659,36.887966,Stigmochelys pardalis,4170,Io
2019,4-Jan,12,0,0.286628,36.887908,Stigmochelys pardalis,4170,Io
2019,4-Jan,16,0,0.28658,36.88792,Stigmochelys pardalis,4170,Io
2019,4-Jan,20,0,0.286553,36.887958,Stigmochelys pardalis,4170,Io
2019,4-Jan,23,0,0.286593,36.887966,Stigmochelys pardalis,4170,Io
2019,5-Jan,0,0,0.286575,36.887939,Stigmochelys pardalis,4170,Io
2019,5-Jan,4,0,0.286586,36.887947,Stigmochelys pardalis,4170,Io
2019,5-Jan,8,0,0.286586,36.887954,Stigmochelys pardalis,4170,Io
2019,5-Jan,12,0,0.286566,36.887966,Stigmochelys pardalis,4170,Io
2019,5-Jan,16,0,0.286453,36.887947,Stigmochelys pardalis,4170,Io
2019,5-Jan,20,0,0.286556,36.887954,Stigmochelys pardalis,4170,Io
2019,5-Jan,23,0,0.286569,36.887973,Stigmochelys pardalis,4170,Io
2019,6-Jan,0,0,0.286584,36.887935,Stigmochelys pardalis,4170,Io
2019,6-Jan,4,0,0.28655,36.887947,Stigmochelys pardalis,4170,Io
2019,6-Jan,8,0,0.286548,36.887954,Stigmochelys pardalis,4170,Io
2019,6-Jan,12,0,0.286601,36.887939,Stigmochelys pardalis,4170,Io
2019,6-Jan,16,0,0.286553,36.887935,Stigmochelys pardalis,4170,Io
2019,6-Jan,20,0,0.286575,36.887958,Stigmochelys pardalis,4170,Io
2019,6-Jan,23,0,0.286569,36.887992,Stigmochelys pardalis,4170,Io
2019,7-Jan,0,0,0.286588,36.887916,Stigmochelys pardalis,4170,Io
2019,7-Jan,4,0,0.286576,36.887939,Stigmochelys pardalis,4170,Io
2019,7-Jan,8,0,0.286611,36.888034,Stigmochelys pardalis,4170,Io
2019,7-Jan,12,0,0.286614,36.887939,Stigmochelys pardalis,4170,Io
2019,7-Jan,16,0,0.286564,36.887947,Stigmochelys pardalis,4170,Io
2019,7-Jan,20,0,0.286561,36.887954,Stigmochelys pardalis,4170,Io
2019,7-Jan,23,0,0.28658,36.887992,Stigmochelys pardalis,4170,Io
2019,8-Jan,0,0,0.286588,36.887908,Stigmochelys pardalis,4170,Io
2019,8-Jan,4,0,0.286588,36.887939,Stigmochelys pardalis,4170,Io
2019,8-Jan,8,0,0.28656,36.887928,Stigmochelys pardalis,4170,Io
2019,8-Jan,12,0,0.286638,36.887966,Stigmochelys pardalis,4170,Io
2019,8-Jan,16,0,0.286575,36.887928,Stigmochelys pardalis,4170,Io
2019,8-Jan,20,0,0.286548,36.887901,Stigmochelys pardalis,4170,Io
2019,8-Jan,23,0,0.286591,36.887939,Stigmochelys pardalis,4170,Io
2019,9-Jan,0,0,0.286586,36.887928,Stigmochelys pardalis,4170,Io
2019,9-Jan,4,0,0.286581,36.887901,Stigmochelys pardalis,4170,Io
2019,9-Jan,8,0,0.286578,36.887935,Stigmochelys pardalis,4170,Io
2019,9-Jan,12,0,0.28662,36.887973,Stigmochelys pardalis,4170,Io
2019,9-Jan,16,0,0.286558,36.887939,Stigmochelys pardalis,4170,Io
2019,9-Jan,20,0,0.286563,36.887935,Stigmochelys pardalis,4170,Io
2019,9-Jan,23,0,0.286578,36.887966,Stigmochelys pardalis,4170,Io
2019,10-Jan,0,0,0.286561,36.887928,Stigmochelys pardalis,4170,Io
2019,10-Jan,4,0,0.286621,36.887954,Stigmochelys pardalis,4170,Io
2019,10-Jan,8,0,0.286583,36.887928,Stigmochelys pardalis,4170,Io
2019,10-Jan,12,0,0.286588,36.887947,Stigmochelys pardalis,4170,Io
2019,10-Jan,16,0,0.286545,36.88792,Stigmochelys pardalis,4170,Io
2019,10-Jan,20,0,0.286528,36.887935,Stigmochelys pardalis,4170,Io
2019,10-Jan,23,0,0.286583,36.887958,Stigmochelys pardalis,4170,Io
2019,11-Jan,0,0,0.286563,36.887939,Stigmochelys pardalis,4170,Io
2019,11-Jan,4,0,0.286584,36.887901,Stigmochelys pardalis,4170,Io
2019,11-Jan,8,0,0.286605,36.887928,Stigmochelys pardalis,4170,Io
2019,11-Jan,12,0,0.286558,36.887939,Stigmochelys pardalis,4170,Io
2019,11-Jan,16,0,0.286555,36.887916,Stigmochelys pardalis,4170,Io
2019,11-Jan,20,0,0.286566,36.887958,Stigmochelys pardalis,4170,Io
2019,11-Jan,23,0,0.286568,36.887939,Stigmochelys pardalis,4170,Io
2019,12-Jan,0,0,0.28656,36.887935,Stigmochelys pardalis,4170,Io
2019,12-Jan,4,0,0.286623,36.887977,Stigmochelys pardalis,4170,Io
2019,12-Jan,8,0,0.28658,36.887935,Stigmochelys pardalis,4170,Io
2019,12-Jan,12,0,0.286595,36.887966,Stigmochelys pardalis,4170,Io
2019,12-Jan,16,0,0.286555,36.887939,Stigmochelys pardalis,4170,Io
2019,12-Jan,20,0,0.286566,36.887947,Stigmochelys pardalis,4170,Io
2019,12-Jan,23,0,0.286576,36.887916,Stigmochelys pardalis,4170,Io
2019,13-Jan,0,0,0.28658,36.887908,Stigmochelys pardalis,4170,Io
2019,13-Jan,4,0,0.286603,36.887958,Stigmochelys pardalis,4170,Io
2019,13-Jan,8,0,0.286593,36.887939,Stigmochelys pardalis,4170,Io
2019,13-Jan,12,0,0.286586,36.887966,Stigmochelys pardalis,4170,Io
2019,13-Jan,16,0,0.286573,36.887939,Stigmochelys pardalis,4170,Io
2019,13-Jan,20,0,0.286566,36.887939,Stigmochelys pardalis,4170,Io
2019,13-Jan,23,0,0.286556,36.887939,Stigmochelys pardalis,4170,Io
2019,14-Jan,0,0,0.286571,36.887901,Stigmochelys pardalis,4170,Io
2019,14-Jan,4,0,0.28659,36.887935,Stigmochelys pardalis,4170,Io
2019,14-Jan,8,0,0.2866,36.887901,Stigmochelys pardalis,4170,Io
2019,14-Jan,12,0,0.286618,36.888042,Stigmochelys pardalis,4170,Io
2019,14-Jan,16,0,0.286575,36.887947,Stigmochelys pardalis,4170,Io
2019,14-Jan,20,0,0.286563,36.887935,Stigmochelys pardalis,4170,Io
2019,14-Jan,23,0,0.28658,36.887947,Stigmochelys pardalis,4170,Io
2019,15-Jan,0,0,0.286576,36.887939,Stigmochelys pardalis,4170,Io
2019,15-Jan,4,0,0.2866,36.887935,Stigmochelys pardalis,4170,Io
2019,15-Jan,8,0,0.286608,36.887928,Stigmochelys pardalis,4170,Io
2019,15-Jan,12,0,0.286614,36.888004,Stigmochelys pardalis,4170,Io
2019,15-Jan,16,0,0.286571,36.887954,Stigmochelys pardalis,4170,Io
2019,15-Jan,20,0,0.286538,36.887935,Stigmochelys pardalis,4170,Io
2019,15-Jan,23,0,0.286575,36.887939,Stigmochelys pardalis,4170,Io
2019,16-Jan,0,0,0.286584,36.887947,Stigmochelys pardalis,4170,Io
2019,16-Jan,4,0,0.286596,36.887966,Stigmochelys pardalis,4170,Io
2019,16-Jan,8,0,0.286581,36.887901,Stigmochelys pardalis,4170,Io
2019,16-Jan,12,0,0.28662,36.887958,Stigmochelys pardalis,4170,Io
2019,16-Jan,16,0,0.286588,36.887935,Stigmochelys pardalis,4170,Io
2019,16-Jan,20,0,0.286548,36.887935,Stigmochelys pardalis,4170,Io
2019,16-Jan,23,0,0.286546,36.887966,Stigmochelys pardalis,4170,Io
2019,17-Jan,0,0,0.28655,36.887935,Stigmochelys pardalis,4170,Io
2019,17-Jan,4,0,0.286568,36.887935,Stigmochelys pardalis,4170,Io
2019,17-Jan,8,0,0.286563,36.887908,Stigmochelys pardalis,4170,Io
2019,17-Jan,12,0,0.286638,36.887992,Stigmochelys pardalis,4170,Io
2019,17-Jan,16,0,0.286564,36.887935,Stigmochelys pardalis,4170,Io
2019,17-Jan,20,0,0.286563,36.887947,Stigmochelys pardalis,4170,Io
2019,17-Jan,23,0,0.286593,36.887832,Stigmochelys pardalis,4170,Io
2019,18-Jan,0,0,0.286573,36.88792,Stigmochelys pardalis,4170,Io
2019,18-Jan,4,0,0.286571,36.887947,Stigmochelys pardalis,4170,Io
2019,18-Jan,8,0,0.286564,36.887916,Stigmochelys pardalis,4170,Io
2019,18-Jan,12,0,0.286658,36.887947,Stigmochelys pardalis,4170,Io
2019,18-Jan,16,0,0.286583,36.887928,Stigmochelys pardalis,4170,Io
2019,18-Jan,20,0,0.286555,36.887958,Stigmochelys pardalis,4170,Io
2019,18-Jan,23,0,0.286596,36.887935,Stigmochelys pardalis,4170,Io
2019,19-Jan,0,0,0.286566,36.887916,Stigmochelys pardalis,4170,Io
2019,19-Jan,4,0,0.286576,36.887966,Stigmochelys pardalis,4170,Io
2019,19-Jan,8,0,0.286598,36.887821,Stigmochelys pardalis,4170,Io
2019,19-Jan,12,0,0.286646,36.887916,Stigmochelys pardalis,4170,Io
2019,19-Jan,16,0,0.286601,36.887939,Stigmochelys pardalis,4170,Io
2019,19-Jan,20,0,0.286533,36.887939,Stigmochelys pardalis,4170,Io
2019,19-Jan,23,0,0.286596,36.887947,Stigmochelys pardalis,4170,Io
2019,20-Jan,0,0,0.286591,36.887901,Stigmochelys pardalis,4170,Io
2019,20-Jan,4,0,0.28662,36.887966,Stigmochelys pardalis,4170,Io
2019,20-Jan,8,0,0.286598,36.887863,Stigmochelys pardalis,4170,Io
2019,20-Jan,12,0,0.286576,36.887954,Stigmochelys pardalis,4170,Io
2019,20-Jan,16,0,0.293213,36.898773,Stigmochelys pardalis,4170,Io
2019,21-Jan,0,0,0.293175,36.898601,Stigmochelys pardalis,4170,Io
2019,21-Jan,23,0,0.293151,36.898616,Stigmochelys pardalis,4170,Io
2019,22-Jan,0,0,0.293196,36.898723,Stigmochelys pardalis,4170,Io
2019,22-Jan,23,0,0.2932,36.898563,Stigmochelys pardalis,4170,Io
2019,23-Jan,0,0,0.29316,36.898544,Stigmochelys pardalis,4170,Io
2019,23-Jan,4,0,0.293121,36.898521,Stigmochelys pardalis,4170,Io
2019,23-Jan,8,0,0.293151,36.898559,Stigmochelys pardalis,4170,Io
2019,23-Jan,23,0,0.293173,36.89862,Stigmochelys pardalis,4170,Io
2019,24-Jan,0,0,0.29314,36.898601,Stigmochelys pardalis,4170,Io
2019,24-Jan,23,0,0.29318,36.898666,Stigmochelys pardalis,4170,Io
2019,25-Jan,0,0,0.293138,36.898616,Stigmochelys pardalis,4170,Io
2019,25-Jan,4,0,0.293284,36.898616,Stigmochelys pardalis,4170,Io
2019,25-Jan,12,0,0.29315,36.898716,Stigmochelys pardalis,4170,Io
2019,25-Jan,20,0,0.293135,36.898601,Stigmochelys pardalis,4170,Io
2019,25-Jan,23,0,0.293138,36.898616,Stigmochelys pardalis,4170,Io
2019,26-Jan,0,0,0.293153,36.898601,Stigmochelys pardalis,4170,Io
2019,26-Jan,4,0,0.293098,36.898544,Stigmochelys pardalis,4170,Io
2019,26-Jan,8,0,0.293135,36.898544,Stigmochelys pardalis,4170,Io
2019,26-Jan,12,0,0.293171,36.898658,Stigmochelys pardalis,4170,Io
2019,26-Jan,16,0,0.293178,36.89854,Stigmochelys pardalis,4170,Io
2019,26-Jan,20,0,0.293155,36.898578,Stigmochelys pardalis,4170,Io
2019,26-Jan,23,0,0.293184,36.898674,Stigmochelys pardalis,4170,Io
2019,27-Jan,0,0,0.293156,36.898578,Stigmochelys pardalis,4170,Io
2019,27-Jan,16,0,0.293176,36.898578,Stigmochelys pardalis,4170,Io
2019,27-Jan,20,0,0.293051,36.898563,Stigmochelys pardalis,4170,Io
2019,27-Jan,23,0,0.293138,36.898571,Stigmochelys pardalis,4170,Io
2019,28-Jan,0,0,0.293128,36.89862,Stigmochelys pardalis,4170,Io
2019,28-Jan,12,0,0.293155,36.898609,Stigmochelys pardalis,4170,Io
2019,28-Jan,16,0,0.293163,36.898468,Stigmochelys pardalis,4170,Io
2019,28-Jan,20,0,0.293168,36.898666,Stigmochelys pardalis,4170,Io
2019,28-Jan,23,0,0.293166,36.898666,Stigmochelys pardalis,4170,Io
2019,29-Jan,0,0,0.293176,36.898502,Stigmochelys pardalis,4170,Io
2019,29-Jan,12,0,0.293128,36.898578,Stigmochelys pardalis,4170,Io
2019,29-Jan,16,0,0.293171,36.898468,Stigmochelys pardalis,4170,Io
2019,29-Jan,20,0,0.293076,36.898582,Stigmochelys pardalis,4170,Io
2019,29-Jan,23,0,0.293161,36.898609,Stigmochelys pardalis,4170,Io
2019,30-Jan,0,0,0.293143,36.898563,Stigmochelys pardalis,4170,Io
2019,30-Jan,4,0,0.292886,36.898506,Stigmochelys pardalis,4170,Io
2019,30-Jan,8,0,0.293214,36.898712,Stigmochelys pardalis,4170,Io
2019,30-Jan,12,0,0.293169,36.898704,Stigmochelys pardalis,4170,Io
2019,30-Jan,16,0,0.293186,36.898506,Stigmochelys pardalis,4170,Io
2019,30-Jan,20,0,0.293228,36.898723,Stigmochelys pardalis,4170,Io
2019,30-Jan,23,0,0.293165,36.898597,Stigmochelys pardalis,4170,Io
2019,31-Jan,0,0,0.293126,36.898609,Stigmochelys pardalis,4170,Io
2019,31-Jan,4,0,0.293131,36.898601,Stigmochelys pardalis,4170,Io
2019,31-Jan,8,0,0.293136,36.898563,Stigmochelys pardalis,4170,Io
2019,31-Jan,12,0,0.293143,36.898658,Stigmochelys pardalis,4170,Io
2019,31-Jan,16,0,0.293173,36.898563,Stigmochelys pardalis,4170,Io
2019,31-Jan,20,0,0.293118,36.898513,Stigmochelys pardalis,4170,Io
2019,31-Jan,23,0,0.293126,36.898571,Stigmochelys pardalis,4170,Io
2019,1-Feb,0,0,0.293075,36.898532,Stigmochelys pardalis,4170,Io
2019,1-Feb,4,0,0.293115,36.898571,Stigmochelys pardalis,4170,Io
2019,1-Feb,8,0,0.293176,36.89862,Stigmochelys pardalis,4170,Io
2019,1-Feb,12,0,0.293108,36.898475,Stigmochelys pardalis,4170,Io
2019,1-Feb,16,0,0.293173,36.898597,Stigmochelys pardalis,4170,Io
2019,1-Feb,20,0,0.29321,36.898723,Stigmochelys pardalis,4170,Io
2019,1-Feb,23,0,0.293148,36.898578,Stigmochelys pardalis,4170,Io
2018,3-Jul,8,0,0.293166,36.898521,Stigmochelys pardalis,4170,Io
2018,3-Jul,12,0,0.282116,36.89693,Stigmochelys pardalis,4170,Io
2018,3-Jul,16,0,0.27819,36.889026,Stigmochelys pardalis,4170,Io
2018,3-Jul,20,0,0.278196,36.889045,Stigmochelys pardalis,4170,Io
2018,3-Jul,23,0,0.278235,36.889083,Stigmochelys pardalis,4170,Io
2018,4-Jul,0,0,0.278208,36.889034,Stigmochelys pardalis,4170,Io
2018,4-Jul,4,0,0.278215,36.889045,Stigmochelys pardalis,4170,Io
2018,4-Jul,8,0,0.278185,36.88908,Stigmochelys pardalis,4170,Io
2018,4-Jul,12,0,0.278176,36.88908,Stigmochelys pardalis,4170,Io
2018,4-Jul,16,0,0.278269,36.889167,Stigmochelys pardalis,4170,Io
2018,4-Jul,20,0,0.278241,36.889194,Stigmochelys pardalis,4170,Io
2018,4-Jul,23,0,0.278281,36.889167,Stigmochelys pardalis,4170,Io
2018,5-Jul,0,0,0.278246,36.889137,Stigmochelys pardalis,4170,Io
2018,5-Jul,4,0,0.278233,36.88916,Stigmochelys pardalis,4170,Io
2018,5-Jul,8,0,0.278265,36.88911,Stigmochelys pardalis,4170,Io
2018,5-Jul,12,0,0.278216,36.889179,Stigmochelys pardalis,4170,Io
2018,5-Jul,16,0,0.279563,36.889644,Stigmochelys pardalis,4170,Io
